split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,brier_score
threshold_selection,0.5,0.9696122523398566,0.9396497811131957,0.7632715265430531,0.8423265592151367,0.9832055201144361,0.9228688919320861,0.00583354743157672,0.23672847345694692,65783,386,1864,6010,0.0232579852039276
threshold_selection,0.51,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.52,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.53,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.54,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.55,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.56,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.57,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.58,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.59,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.6,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.61,0.9695987466742298,0.9399155061805664,0.7628905257810515,0.8422011917280056,0.9832055201144361,0.9228688919320861,0.005803321797216219,0.23710947421894843,65785,384,1867,6007,0.0232579852039276
threshold_selection,0.62,0.9688964520616399,0.9617105917454003,0.7368554737109474,0.8343999424750126,0.9832055201144361,0.9228688919320861,0.003491060768637882,0.2631445262890526,65938,231,2072,5802,0.0232579852039276
threshold_selection,0.63,0.9688964520616399,0.9617105917454003,0.7368554737109474,0.8343999424750126,0.9832055201144361,0.9228688919320861,0.003491060768637882,0.2631445262890526,65938,231,2072,5802,0.0232579852039276
threshold_selection,0.64,0.9688964520616399,0.9617105917454003,0.7368554737109474,0.8343999424750126,0.9832055201144361,0.9228688919320861,0.003491060768637882,0.2631445262890526,65938,231,2072,5802,0.0232579852039276
threshold_selection,0.65,0.9688964520616399,0.9617105917454003,0.7368554737109474,0.8343999424750126,0.9832055201144361,0.9228688919320861,0.003491060768637882,0.2631445262890526,65938,231,2072,5802,0.0232579852039276
threshold_selection,0.66,0.9688964520616399,0.9617105917454003,0.7368554737109474,0.8343999424750126,0.9832055201144361,0.9228688919320861,0.003491060768637882,0.2631445262890526,65938,231,2072,5802,0.0232579852039276
threshold_selection,0.67,0.9688964520616399,0.9617105917454003,0.7368554737109474,0.8343999424750126,0.9832055201144361,0.9228688919320861,0.003491060768637882,0.2631445262890526,65938,231,2072,5802,0.0232579852039276
threshold_selection,0.68,0.9688964520616399,0.9617105917454003,0.7368554737109474,0.8343999424750126,0.9832055201144361,0.9228688919320861,0.003491060768637882,0.2631445262890526,65938,231,2072,5802,0.0232579852039276
threshold_selection,0.69,0.9682616857771835,0.966869506423259,0.7264414528829057,0.8295866569978245,0.9832055201144361,0.9228688919320861,0.0029621121673291118,0.2735585471170942,65973,196,2154,5720,0.0232579852039276
threshold_selection,0.7,0.9682616857771835,0.966869506423259,0.7264414528829057,0.8295866569978245,0.9832055201144361,0.9228688919320861,0.0029621121673291118,0.2735585471170942,65973,196,2154,5720,0.0232579852039276
threshold_selection,0.71,0.9682616857771835,0.966869506423259,0.7264414528829057,0.8295866569978245,0.9832055201144361,0.9228688919320861,0.0029621121673291118,0.2735585471170942,65973,196,2154,5720,0.0232579852039276
threshold_selection,0.72,0.9682616857771835,0.966869506423259,0.7264414528829057,0.8295866569978245,0.9832055201144361,0.9228688919320861,0.0029621121673291118,0.2735585471170942,65973,196,2154,5720,0.0232579852039276
threshold_selection,0.73,0.9682616857771835,0.966869506423259,0.7264414528829057,0.8295866569978245,0.9832055201144361,0.9228688919320861,0.0029621121673291118,0.2735585471170942,65973,196,2154,5720,0.0232579852039276
threshold_selection,0.74,0.9682616857771835,0.966869506423259,0.7264414528829057,0.8295866569978245,0.9832055201144361,0.9228688919320861,0.0029621121673291118,0.2735585471170942,65973,196,2154,5720,0.0232579852039276
threshold_selection,0.75,0.9682616857771835,0.966869506423259,0.7264414528829057,0.8295866569978245,0.9832055201144361,0.9228688919320861,0.0029621121673291118,0.2735585471170942,65973,196,2154,5720,0.0232579852039276
threshold_selection,0.76,0.9682751914428103,0.967032967032967,0.7264414528829057,0.8296468199289289,0.9832055201144361,0.9228688919320861,0.0029469993501488614,0.2735585471170942,65974,195,2154,5720,0.0232579852039276
threshold_selection,0.77,0.9682751914428103,0.967032967032967,0.7264414528829057,0.8296468199289289,0.9832055201144361,0.9228688919320861,0.0029469993501488614,0.2735585471170942,65974,195,2154,5720,0.0232579852039276
threshold_selection,0.78,0.9682751914428103,0.967032967032967,0.7264414528829057,0.8296468199289289,0.9832055201144361,0.9228688919320861,0.0029469993501488614,0.2735585471170942,65974,195,2154,5720,0.0232579852039276
threshold_selection,0.79,0.9682751914428103,0.967032967032967,0.7264414528829057,0.8296468199289289,0.9832055201144361,0.9228688919320861,0.0029469993501488614,0.2735585471170942,65974,195,2154,5720,0.0232579852039276
threshold_selection,0.8,0.9682751914428103,0.967032967032967,0.7264414528829057,0.8296468199289289,0.9832055201144361,0.9228688919320861,0.0029469993501488614,0.2735585471170942,65974,195,2154,5720,0.0232579852039276
threshold_selection,0.81,0.9663303755925611,0.9759419777109499,0.7006604013208027,0.8157019294743846,0.9832055201144361,0.9228688919320861,0.0020553431365140777,0.29933959867919735,66033,136,2357,5517,0.0232579852039276
threshold_selection,0.82,0.9638048161203625,0.9868766404199475,0.6685293370586741,0.7970926711084192,0.9832055201144361,0.9228688919320861,0.0010578972026175399,0.3314706629413259,66099,70,2610,5264,0.0232579852039276
threshold_selection,0.83,0.9637913104547358,0.9868741796362273,0.6684023368046736,0.7970015900658741,0.9832055201144361,0.9228688919320861,0.0010578972026175399,0.3315976631953264,66099,70,2611,5263,0.0232579852039276
threshold_selection,0.84,0.9637507934578555,0.9870495495495496,0.6678943357886715,0.7966974700802909,0.9832055201144361,0.9228688919320861,0.0010427843854372894,0.3321056642113284,66100,69,2615,5259,0.0232579852039276
threshold_selection,0.85,0.9637507934578555,0.9870495495495496,0.6678943357886715,0.7966974700802909,0.9832055201144361,0.9228688919320861,0.0010427843854372894,0.3321056642113284,66100,69,2615,5259,0.0232579852039276
threshold_selection,0.86,0.9632916008265467,0.9877033673855468,0.6630683261366522,0.7934650455927051,0.9832055201144361,0.9228688919320861,0.0009823331167162872,0.3369316738633477,66104,65,2653,5221,0.0232579852039276
threshold_selection,0.87,0.9632916008265467,0.9877033673855468,0.6630683261366522,0.7934650455927051,0.9832055201144361,0.9228688919320861,0.0009823331167162872,0.3369316738633477,66104,65,2653,5221,0.0232579852039276
threshold_selection,0.88,0.9632916008265467,0.9877033673855468,0.6630683261366522,0.7934650455927051,0.9832055201144361,0.9228688919320861,0.0009823331167162872,0.3369316738633477,66104,65,2653,5221,0.0232579852039276
threshold_selection,0.89,0.96327809516092,0.9877010406811731,0.6629413258826518,0.7933733566380424,0.9832055201144361,0.9228688919320861,0.0009823331167162872,0.33705867411734824,66104,65,2654,5220,0.0232579852039276
threshold_selection,0.9,0.96327809516092,0.9877010406811731,0.6629413258826518,0.7933733566380424,0.9832055201144361,0.9228688919320861,0.0009823331167162872,0.33705867411734824,66104,65,2654,5220,0.0232579852039276
threshold_selection,0.91,0.9615088529638183,0.9894777864380359,0.6449072898145797,0.7808703675226818,0.9832055201144361,0.9228688919320861,0.0008160921277335308,0.3550927101854204,66115,54,2796,5078,0.0232579852039276
threshold_selection,0.92,0.9604013883824264,0.9916434540389972,0.6329692659385319,0.7727131782945736,0.9832055201144361,0.9228688919320861,0.0006347383215705239,0.36703073406146813,66127,42,2890,4984,0.0232579852039276
threshold_selection,0.93,0.9572140512945181,0.9957859249894648,0.6002032004064008,0.7489698890649762,0.9832055201144361,0.9228688919320861,0.0003022563436050114,0.3997967995935992,66149,20,3148,4726,0.0232579852039276
threshold_selection,0.94,0.9572005456288913,0.9957850368809273,0.6000762001524003,0.7488707504556621,0.9832055201144361,0.9228688919320861,0.0003022563436050114,0.3999237998475997,66149,20,3149,4725,0.0232579852039276
threshold_selection,0.95,0.9555798657536837,0.9973963983510523,0.5838201676403353,0.7365216694704798,0.9832055201144361,0.9228688919320861,0.00018135380616300686,0.4161798323596647,66157,12,3277,4597,0.0232579852039276
